id;created_at;title;author;isbn;publication_year;description;language;added_by_user_id;is_approved
45642;5/12/2025;Harry Potter and the Half-Blood Prince (Harry Potter  #6);J.K. Rowling/Mary GrandPré;0439785960;2006;num_page : 652ratings_count : 2095690text_reviews_count : 27591publisher : Scholastic Inc.;Anglais;100;1
45643;3/11/2025;Harry Potter and the Order of the Phoenix (Harry Potter  #5);J.K. Rowling/Mary GrandPré;0439358078;2004;num_page : 870ratings_count : 2153167text_reviews_count : 29221publisher : Scholastic Inc.;Anglais;100;1
4;5/18/2025;Harry Potter and the Chamber of Secrets (Harry Potter  #2);J.K. Rowling;0439554896;2003;num_page : 352ratings_count : 6333text_reviews_count : 244publisher : Scholastic;Anglais;100;1
5;3/26/2025;Harry Potter and the Prisoner of Azkaban (Harry Potter  #3);J.K. Rowling/Mary GrandPré;043965548X;2004;num_page : 435ratings_count : 2339585text_reviews_count : 36325publisher : Scholastic Inc.;Anglais;100;1
8;3/3/2025;Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5);J.K. Rowling/Mary GrandPré;0439682584;2004;num_page : 2690ratings_count : 41428text_reviews_count : 164publisher : Scholastic;Anglais;100;1
9;3/28/2025;"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation";W. Frederick Zimmerman;0976540606;2005;num_page : 152ratings_count : 19text_reviews_count : 1publisher : Nimble Books;Anglais (USA);100;1
10;5/4/2025;Harry Potter Collection (Harry Potter  #1-6);J.K. Rowling;0439827604;2005;num_page : 3342ratings_count : 28242text_reviews_count : 808publisher : Scholastic;Anglais;100;1
12;3/18/2025;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;0517226952;2005;num_page : 815ratings_count : 3628text_reviews_count : 254publisher : Gramercy Books;Anglais;100;1
13;4/7/2025;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;0345453743;2002;num_page : 815ratings_count : 249558text_reviews_count : 4080publisher : Del Rey Books;Anglais;100;1
14;5/8/2025;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1);Douglas Adams;1400052920;2004;num_page : 215ratings_count : 4930text_reviews_count : 460publisher : Crown;Anglais;100;1
18;2/18/2025;The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;0517149257;1996;num_page : 815ratings_count : 2877text_reviews_count : 195publisher : Wings Books;Anglais;100;1
21;3/8/2025;A Short History of Nearly Everything;Bill Bryson;076790818X;2004;num_page : 544ratings_count : 248558text_reviews_count : 9396publisher : Broadway Books;Anglais;100;1
22;2/1/2025;Bill Bryson's African Diary;Bill Bryson;0767915062;2002;num_page : 55ratings_count : 7270text_reviews_count : 499publisher : Broadway Books;Anglais;100;1
23;5/10/2025;Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right;Bill Bryson;0767910435;2004;num_page : 256ratings_count : 2088text_reviews_count : 131publisher : Broadway Books;Anglais;100;1
24;4/8/2025;In a Sunburned Country;Bill Bryson;0767903862;2001;num_page : 335ratings_count : 72451text_reviews_count : 4245publisher : Broadway Books;Anglais;100;1
25;2/24/2025;I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away;Bill Bryson;076790382X;2000;num_page : 304ratings_count : 49240text_reviews_count : 2211publisher : Broadway Books;Anglais;100;1
26;5/6/2025;The Lost Continent: Travels in Small Town America;Bill Bryson;0060920084;1990;num_page : 299ratings_count : 45712text_reviews_count : 2257publisher : William Morrow Paperbacks;Anglais;100;1
27;2/2/2025;Neither Here nor There: Travels in Europe;Bill Bryson;0380713802;1993;num_page : 254ratings_count : 48701text_reviews_count : 2238publisher : William Morrow Paperbacks;Anglais;100;1
28;2/15/2025;Notes from a Small Island;Bill Bryson;0380727501;1997;num_page : 324ratings_count : 80609text_reviews_count : 3301publisher : William Morrow Paperbacks;Anglais;100;1
29;3/20/2025;The Mother Tongue: English and How It Got That Way;Bill Bryson;0380715430;1991;num_page : 270ratings_count : 28489text_reviews_count : 2085publisher : William Morrow Paperbacks;Anglais;100;1
30;4/28/2025;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;J.R.R. Tolkien;0345538374;2012;num_page : 1728ratings_count : 101233text_reviews_count : 1550publisher : Ballantine Books;Anglais;100;1
31;2/28/2025;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien;0618517650;2004;num_page : 1184ratings_count : 1710text_reviews_count : 91publisher : Houghton Mifflin Harcourt;Anglais;100;1
34;3/10/2025;The Fellowship of the Ring (The Lord of the Rings  #1);J.R.R. Tolkien;0618346252;2003;num_page : 398ratings_count : 2128944text_reviews_count : 13670publisher : Houghton Mifflin Harcourt;Anglais;100;1
36;2/26/2025;The Lord of the Rings: Weapons and Warfare;Chris   Smith/Christopher  Lee/Richard Taylor;0618391002;2003;num_page : 218ratings_count : 19822text_reviews_count : 46publisher : Houghton Mifflin Harcourt;Anglais;100;1
37;4/7/2025;The Lord of the Rings: Complete Visual Companion;Jude Fisher;0618510826;2004;num_page : 224ratings_count : 359text_reviews_count : 6publisher : Houghton Mifflin Harcourt;Anglais;100;1
45;5/14/2025;Agile Web Development with Rails: A Pragmatic Guide;Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz;097669400X;2005;num_page : 558ratings_count : 1430text_reviews_count : 59publisher : Pragmatic Bookshelf;Anglais;100;1
50;3/4/2025;Hatchet (Brian's Saga  #1);Gary Paulsen;0689840926;2000;num_page : 208ratings_count : 270244text_reviews_count : 12017publisher : Atheneum Books for Young Readers: Richard Jackson Books;Anglais;100;1
51;3/8/2025;"Hatchet: A Guide for Using ""Hatchet"" in the Classroom";Donna Ickes/Edward Sciranko/Keith Vasconcelles;1557344493;1994;num_page : 48ratings_count : 36text_reviews_count : 2publisher : Teacher Created Resources;Anglais;100;1
53;4/12/2025;Guts: The True Stories behind Hatchet and the Brian Books;Gary Paulsen;0385326505;2001;num_page : 144ratings_count : 2067text_reviews_count : 334publisher : Delacorte Press;Anglais;100;1
54;4/1/2025;Molly Hatchet - 5 of the Best;Molly Hatchet;1575606240;2003;num_page : 56ratings_count : 6text_reviews_count : 0publisher : Cherry Lane Music Company;Anglais;100;1
55;4/23/2025;Hatchet Jobs: Writings on Contemporary Fiction;Dale Peck;1595580271;2005;num_page : 228ratings_count : 99text_reviews_count : 16publisher : The New Press;Anglais (USA);100;1
